"st","lat","long","y","x","year","month","day","weekno","weekday","hr","min","pixel"
1,12.9664,77.5984,506,438,2016,2,13,2,5,16,0,3
1,12.9664,77.5984,506,439,2016,2,13,2,5,16,0,3
1,12.9664,77.5985,506,442,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,506,443,2016,2,13,2,5,16,0,2
1,12.9664,77.5985,506,444,2016,2,13,2,5,16,0,2
1,12.9664,77.5986,506,448,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,506,449,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,506,450,2016,2,13,2,5,16,0,3
1,12.9664,77.5987,506,452,2016,2,13,2,5,16,0,2
1,12.9664,77.5984,507,438,2016,2,13,2,5,16,0,3
1,12.9664,77.5984,507,439,2016,2,13,2,5,16,0,3
1,12.9664,77.5985,507,445,2016,2,13,2,5,16,0,2
1,12.9664,77.5986,507,448,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,507,449,2016,2,13,2,5,16,0,3
1,12.9664,77.5986,507,450,2016,2,13,2,5,16,0,3
1,12.9664,77.5987,507,452,2016,2,13,2,5,16,0,1
1,12.9663,77.5984,508,438,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,508,439,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,508,440,2016,2,13,2,5,16,0,3
1,12.9663,77.5986,508,447,2016,2,13,2,5,16,0,2
1,12.9663,77.5986,508,449,2016,2,13,2,5,16,0,3
1,12.9663,77.5986,508,450,2016,2,13,2,5,16,0,3
1,12.9663,77.5983,509,434,2016,2,13,2,5,16,0,1
1,12.9663,77.5984,509,439,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,509,440,2016,2,13,2,5,16,0,3
1,12.9663,77.5986,509,449,2016,2,13,2,5,16,0,3
1,12.9663,77.5986,509,450,2016,2,13,2,5,16,0,3
1,12.9663,77.5983,510,434,2016,2,13,2,5,16,0,2
1,12.9663,77.5983,510,436,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,510,437,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,510,440,2016,2,13,2,5,16,0,3
1,12.9663,77.5985,510,441,2016,2,13,2,5,16,0,3
1,12.9663,77.5986,510,449,2016,2,13,2,5,16,0,3
1,12.9663,77.5986,510,450,2016,2,13,2,5,16,0,3
1,12.9663,77.6015,510,584,2016,2,13,2,5,16,0,2
1,12.9663,77.5982,511,430,2016,2,13,2,5,16,0,2
1,12.9663,77.5982,511,431,2016,2,13,2,5,16,0,1
1,12.9663,77.5983,511,435,2016,2,13,2,5,16,0,3
1,12.9663,77.5983,511,436,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,511,437,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,511,440,2016,2,13,2,5,16,0,3
1,12.9663,77.5985,511,441,2016,2,13,2,5,16,0,3
1,12.9663,77.5985,511,442,2016,2,13,2,5,16,0,3
1,12.9663,77.5985,511,444,2016,2,13,2,5,16,0,1
1,12.9663,77.5986,511,449,2016,2,13,2,5,16,0,3
1,12.9663,77.6016,511,588,2016,2,13,2,5,16,0,2
1,12.9663,77.5982,512,427,2016,2,13,2,5,16,0,1
1,12.9663,77.5982,512,429,2016,2,13,2,5,16,0,1
1,12.9663,77.5983,512,434,2016,2,13,2,5,16,0,3
1,12.9663,77.5983,512,435,2016,2,13,2,5,16,0,3
1,12.9663,77.5983,512,436,2016,2,13,2,5,16,0,3
1,12.9663,77.5984,512,440,2016,2,13,2,5,16,0,3
1,12.9663,77.5985,512,441,2016,2,13,2,5,16,0,3
1,12.9663,77.5985,512,442,2016,2,13,2,5,16,0,3
1,12.9663,77.5985,512,444,2016,2,13,2,5,16,0,1
1,12.9663,77.6015,512,585,2016,2,13,2,5,16,0,3
1,12.9663,77.6016,512,586,2016,2,13,2,5,16,0,3
1,12.9663,77.6016,512,587,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,513,432,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,513,433,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,513,434,2016,2,13,2,5,16,0,3
1,12.9662,77.5984,513,437,2016,2,13,2,5,16,0,2
1,12.9662,77.5984,513,439,2016,2,13,2,5,16,0,2
1,12.9662,77.5985,513,441,2016,2,13,2,5,16,0,3
1,12.9662,77.5985,513,442,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,513,586,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,513,587,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,513,588,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,513,589,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,513,590,2016,2,13,2,5,16,0,3
1,12.9662,77.5981,514,424,2016,2,13,2,5,16,0,1
1,12.9662,77.5982,514,431,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,514,432,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,514,433,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,514,434,2016,2,13,2,5,16,0,3
1,12.9662,77.5985,514,445,2016,2,13,2,5,16,0,3
1,12.9662,77.6015,514,585,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,514,586,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,514,587,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,514,588,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,514,589,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,514,590,2016,2,13,2,5,16,0,3
1,12.9662,77.6017,514,591,2016,2,13,2,5,16,0,3
1,12.9662,77.6017,514,592,2016,2,13,2,5,16,0,3
1,12.9662,77.5982,515,430,2016,2,13,2,5,16,0,3
1,12.9662,77.5982,515,431,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,515,432,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,515,433,2016,2,13,2,5,16,0,3
1,12.9662,77.5985,515,444,2016,2,13,2,5,16,0,3
1,12.9662,77.6015,515,585,2016,2,13,2,5,16,0,2
1,12.9662,77.6016,515,589,2016,2,13,2,5,16,0,3
1,12.9662,77.6016,515,590,2016,2,13,2,5,16,0,3
1,12.9662,77.6017,515,591,2016,2,13,2,5,16,0,3
1,12.9662,77.6017,515,592,2016,2,13,2,5,16,0,3
1,12.9662,77.5981,516,426,2016,2,13,2,5,16,0,2
1,12.9662,77.5982,516,431,2016,2,13,2,5,16,0,3
1,12.9662,77.5983,516,436,2016,2,13,2,5,16,0,1
1,12.9662,77.5984,516,440,2016,2,13,2,5,16,0,2
1,12.9662,77.5985,516,442,2016,2,13,2,5,16,0,3
1,12.9662,77.5985,516,443,2016,2,13,2,5,16,0,3
